1-CdSe,,2-CdMnSe,
波长 (nm),吸光度,波长 (nm),吸光度
581,0.321781341255438,581,0.0183209712355059
580,0.326350575797868,580,0.0189947180944831
579,0.330883372884739,579,0.0195146114140415
578,0.335729904552483,578,0.0201594906350716
577,0.340610148370423,577,0.0210345609065413
576,0.345155323187085,576,0.0217552877750462
575,0.349549262013157,575,0.0222475995696504
574,0.355263428285437,574,0.0233311844450347
573,0.359502592924706,573,0.0239022173073308
572,0.364047701078943,572,0.024826035285422
571,0.368944206763706,571,0.0259388053758396
570,0.373773250046458,570,0.0271233691184312
569,0.378029398301037,569,0.0283345203598975
568,0.383414621804732,568,0.029581090923346
567,0.387545876350341,567,0.0308030434676253
566,0.392147344590483,566,0.0323431782222158
565,0.396199621098797,565,0.0338856316904294
564,0.401077556915406,564,0.0360805883274904
563,0.405763576528674,563,0.0383009156860856
562,0.409866741897509,562,0.0406579668756462
561,0.414423851892466,561,0.0428253956615161
560,0.418674608052994,560,0.0455984187826009
559,0.423182659178733,559,0.0486118444845514
558,0.427575249430718,558,0.0519961495993875
557,0.431704846033334,557,0.0555887872375325
556,0.436321635916651,556,0.0595597058175028
555,0.440143717033386,555,0.0635287624435479
554,0.444558720198796,554,0.0679015594085487
553,0.448499570654303,553,0.0725631137711895
552,0.452789303667856,552,0.0778997743432451
551,0.456999109339674,551,0.0836794615493134
550,0.461658886462434,550,0.0895162360576544
549,0.465962152469563,549,0.0963601162047231
548,0.470037595400139,548,0.102997492563153
547,0.474054473780296,547,0.109398011425651
546,0.478353438781584,546,0.116543814286732
545,0.48293938036978,545,0.124741461312701
544,0.487170975677205,544,0.132728657284372
543,0.491415796289249,543,0.140904102196034
542,0.495882084514781,542,0.149461745144975
541,0.499712119730927,541,0.157035246720613
540,0.504163911313836,540,0.165770452173367
539,0.508758271630226,539,0.175228276387575
538,0.514043472109752,538,0.185225271180633
537,0.518484926559442,537,0.193739715753896
536,0.522817339476174,536,0.201989974208948
535,0.528239222391924,535,0.212031537471643
534,0.532831419360676,534,0.220702677771643
533,0.53692794070765,533,0.227932630561706
532,0.541541462948345,532,0.236358066089142
531,0.546601670927365,531,0.245216227639467
530,0.55153166552671,530,0.253426879913001
529,0.55547309401932,529,0.259589202921576
528,0.559132807953627,528,0.265303931096698
527,0.563860297067079,527,0.272295863715738
526,0.567740194778193,526,0.278035561554609
525,0.571738005498255,525,0.283228638090066
524,0.575620798467646,524,0.287980720650662
523,0.579552874152279,523,0.292132955470192
